time_step,timestamp,P_cmd,total_P_actual,total_available_energy,total_available_power,P_氢燃料电池,SOC_氢燃料电池,E_available_氢燃料电池,P_铁硫电池,SOC_铁硫电池,E_available_铁硫电池,P_钠电池,SOC_钠电池,E_available_钠电池,P_钒液流电池,SOC_钒液流电池,E_available_钒液流电池
78,2025-12-13 09:29:31.740879,33.38245854051814,33.38245854051814,200.9312353765577,88,18.127761322224156,79.47178111715048,95.36613734058058,1.3837633548298816,84.47644896611594,8.447644896611594,12.61199846419156,89.6515617657907,89.6515617657907,1.2589353992725392,74.56209665817968,7.456209665817969
79,2025-12-13 09:29:32.740879,33.59244621900906,33.59244621900906,200.92155366880084,88,18.241780465581236,79.4673362388694,95.36080348664326,1.3924635122703457,84.47224466807164,8.447224466807164,12.691353676357354,89.64796444332008,89.64796444332008,1.2668485648001253,74.55818663174512,7.455818663174512
80,2025-12-13 09:29:33.740879,28.705272175487607,28.70527217548761,200.91181105994502,88,15.587878062278318,79.46353802296728,95.35624562756074,1.1898782891695157,84.46865204038694,8.446865204038694,10.84497900766569,89.64489046967844,89.64489046967844,1.0825368163740838,74.55484546873161,7.455484546873161
81,2025-12-13 09:29:34.740879,29.472453790910063,29.472453790910066,200.90348584815104,88,16.00447384159485,79.45963829737235,95.35156595684681,1.221675985193091,84.46496340516595,8.446496340516594,11.134839619195516,89.64173433599953,89.64173433599953,1.111464344926609,74.55141502322257,7.455141502322258
82,2025-12-13 09:29:35.740879,25.224550978249543,25.224550978249543,200.89493813568518,88,13.697721072008415,79.45630064603901,95.34756077524682,1.0455914553750856,84.46180642613402,8.446180642613403,9.52997486945855,89.63903309595716,89.63903309595716,0.9512635814074922,74.54847902451452,7.454847902451452
83,2025-12-13 09:29:36.740879,26.21805614789175,26.218056147891755,200.88762241626884,88,14.23721900145228,79.45283153809518,95.34339784571422,1.0867710919314029,84.45852511245064,8.445852511245064,9.905339124819369,89.63622546015081,89.63622546015081,0.9887269296887014,74.54542739818832,7.454542739818832
84,2025-12-13 09:29:37.740879,21.496546492553303,21.496546492553307,200.88001855692895,88,11.673287046025004,79.44998716990658,95.3399846038879,0.8910565167018972,84.45583472441713,8.445583472441713,8.121535070849756,89.63392343773845,89.63392343773845,0.8106678589766487,74.54292533689518,7.454292533689518
85,2025-12-13 09:29:38.740879,23.932109052007156,23.932109052007156,200.87378404775757,88,12.995867506473784,79.44682053552391,95.3361846426287,0.9920114462631816,84.45283952077503,8.445283952077503,9.041716176487084,89.63136059301722,89.63136059301722,0.9025139227831065,74.54013980009647,7.454013980009647
86,2025-12-13 09:29:39.740879,20.000212269479498,20.000212269479498,200.86684316773307,88,10.86072254568571,79.44417416063462,95.33300899276153,0.8290283322868985,84.45033641590702,8.445033641590701,7.556227455477446,89.62921880518971,89.62921880518971,0.7542339360294433,74.53781191757786,7.453781191757786
87,2025-12-13 09:29:40.740879,19.17421326577004,19.174213265770042,200.86104263129974,88,10.412176242809478,79.44163708065342,95.32996449678411,0.7947884257906759,84.4479366923992,8.44479366923992,7.2441662042467065,89.62716547009781,89.62716547009781,0.7230823929231813,74.53558018179723,7.453558018179724
88,2025-12-13 09:29:41.740879,23.037271824508384,23.037271824508387,200.85548165430157,88,12.509929244290017,79.43858885228006,95.32630662273608,0.9549140257180492,84.4450534978771,8.44450534978771,8.703667988697603,89.62469844402392,89.62469844402392,0.8687605658027162,74.53289882202624,7.453289882202624
